Dose
438.8211
393.65417
359.76663
333.84296
313.55966
297.28772
283.88443
272.5476
262.71356
253.98553
246.08386
238.81084
232.02623
225.63017
219.55104
213.7371
208.15067
202.76384
197.55571
192.51031
187.61519
183.01317
178.77039
174.79768
171.03233
167.43007
163.95961
160.59868
157.33144
154.14644
151.03537
147.99216
145.01219
142.09201
139.22888
136.42062
133.66542
130.96178
128.30833
125.703926
123.14744
120.63788
118.1743
115.75578
113.38148
111.05054
108.762146
433.74496
384.72705
347.8501
319.5441
297.3073
279.38608
264.5503
251.93669
240.9387
231.12962
222.20874
213.96362
206.24368
198.94177
191.98116
185.30649
178.87749
172.77988
167.18343
161.96144
157.02477
152.31064
147.77467
143.38542
139.12047
134.96376
130.90364
126.93163
123.04139
119.22814
115.48818
111.81859
108.21696
104.681274
101.20982
97.801056
94.45359
91.16614
87.9375
84.76654
81.65216
78.59331
75.58896
72.63813
69.73985
66.89317
64.09717
412.24258
347.70786
299.54364
262.94852
234.5567
212.00766
193.64474
178.30418
165.16747
153.6579
143.36826
134.01013
125.378395
117.32639
109.748535
102.56814
95.72883
89.18863
82.91571
76.885506
71.078575
65.479225
60.074444
54.853207
49.805958
44.924248
40.20049
35.627766
31.19971
26.910393
22.912807
19.34059
16.081934
13.05825
10.214212
7.510781
5.2575464
3.6802826
2.5761979
1.8033384
1.262337
0.8836358
0.6185451
0.43298155
0.3030871
0.21216096
0.14851268
409.81207
344.61343
296.99045
261.7497
235.2522
214.9471
199.04556
186.29222
175.80533
166.96483
159.33398
152.60446
146.55803
141.03957
135.93828
131.17451
126.690475
122.443825
118.4031
114.54453
110.84987
107.304726
103.89757
100.61889
97.46068
94.41603
91.47891
88.64389
85.906075
83.26096
80.7044
78.232506
75.841644
73.52839
71.47075
69.66298
68.03668
66.54389
65.15088
63.833946
62.576385
61.36639
60.19559
59.05802
57.949406
56.866646
55.807472
411.4612
347.64597
301.21246
267.01767
241.45781
222.00688
206.89348
194.87456
185.07718
176.88753
169.87344
163.72995
158.24132
153.25436
148.65982
144.3793
140.3561
136.54877
132.9267
129.46692
126.15188
122.967896
119.9041
116.95164
114.103134
111.3523
108.6937
106.1225
103.63438
101.2254
98.89197
96.63073
94.43858
92.312614
90.25009
88.24843
86.3052
84.41809
82.658394
81.023865
79.48486
78.020485
76.61597
75.260796
73.94748
72.67064
71.426346
398.72137
324.4456
269.2133
227.44572
195.23099
169.8243
149.29825
132.29794
117.86951
105.340164
94.23413
84.21378
75.03849
66.53575
58.58094
51.083195
43.975468
37.207573
30.74129
25.254818
20.846737
17.227472
14.192294
11.595982
9.335086
7.335507
5.5437856
3.9210114
2.744708
1.9212956
